q3,q2,q2,q1,Iris-versicolor
q4,q3,q4,q4,Iris-virginica
q3,q3,q3,q3,Iris-versicolor
q4,q1,q3,q4,Iris-virginica
q4,q2,q4,q4,Iris-virginica
q4,q4,q2,q1,Iris-setosa
q4,q3,q3,q3,Iris-versicolor
q1,q3,q4,q1,Iris-setosa
q2,q4,q1,q2,Iris-setosa
q3,q3,q4,q4,Iris-virginica
q1,q4,q1,q1,Iris-setosa
q1,q1,q2,q2,Iris-versicolor
q1,q4,q1,q1,Iris-setosa
q3,q1,q4,q4,Iris-virginica
q1,q1,q1,q1,Iris-setosa
q4,q2,q4,q4,Iris-virginica
q3,q1,q2,q2,Iris-versicolor
q1,q3,q1,q1,Iris-setosa
q3,q2,q2,q2,Iris-versicolor
q2,q4,q1,q1,Iris-setosa
q3,q2,q3,q3,Iris-versicolor
q2,q1,q2,q2,Iris-versicolor
q1,q4,q1,q2,Iris-setosa
q2,q4,q4,q1,Iris-setosa
q1,q3,q1,q1,Iris-setosa
q3,q1,q3,q3,Iris-virginica
q1,q2,q1,q2,Iris-setosa
q3,q2,q3,q3,Iris-virginica
q2,q1,q4,q4,Iris-virginica
q3,q1,q4,q3,Iris-versicolor
q4,q2,q4,q4,Iris-virginica
q2,q1,q3,q4,Iris-virginica
q2,q4,q1,q1,Iris-setosa
q1,q1,q1,q1,Iris-setosa
q2,q2,q3,q3,Iris-versicolor
q4,q3,q3,q3,Iris-versicolor
q2,q4,q1,q1,Iris-setosa
q2,q1,q2,q2,Iris-versicolor
q1,q4,q4,q1,Iris-setosa
q1,q2,q1,q1,Iris-setosa
q4,q1,q4,q3,Iris-virginica
q4,q2,q3,q3,Iris-versicolor
q2,q1,q2,q2,Iris-versicolor
q2,q1,q3,q4,Iris-virginica
q1,q2,q2,q2,Iris-versicolor
q3,q1,q3,q2,Iris-versicolor
q2,q1,q2,q2,Iris-versicolor
q1,q3,q1,q1,Iris-setosa
q4,q1,q4,q4,Iris-virginica
q4,q3,q3,q1,Iris-virginica
q3,q2,q4,q3,Iris-virginica
q1,q1,q2,q2,Iris-versicolor
q3,q3,q4,q4,Iris-virginica
q3,q2,q3,q3,Iris-virginica
q3,q1,q2,q2,Iris-versicolor
q4,q4,q4,q4,Iris-virginica
q1,q2,q1,q1,Iris-setosa
q1,q1,q3,q3,Iris-versicolor
q2,q1,q3,q4,Iris-virginica
q1,q4,q1,q1,Iris-setosa
q3,q1,q3,q3,Iris-virginica
q1,q2,q1,q1,Iris-setosa
q3,q4,q1,q1,Iris-setosa
q1,q3,q1,q1,Iris-setosa
q2,q4,q1,q2,Iris-setosa
q4,q4,q1,q1,Iris-setosa
q2,q1,q2,q2,Iris-versicolor
q1,q1,q3,q3,Iris-virginica
q4,q3,q4,q4,Iris-virginica
q1,q2,q1,q1,Iris-setosa
q1,q1,q2,q2,Iris-versicolor
q3,q3,q4,q3,Iris-virginica
q4,q3,q4,q4,Iris-virginica
q2,q4,q1,q3,Iris-setosa
q3,q4,q4,q4,Iris-virginica
q3,q1,q3,q3,Iris-virginica
q4,q4,q4,q4,Iris-virginica
q1,q1,q2,q2,Iris-versicolor
q1,q3,q1,q1,Iris-setosa
q2,q4,q1,q1,Iris-setosa
q1,q1,q1,q1,Iris-setosa
q3,q1,q2,q2,Iris-versicolor
q4,q2,q4,q4,Iris-virginica
q4,q3,q3,q3,Iris-versicolor
q3,q4,q1,q4,Iris-virginica
q4,q2,q4,q3,Iris-virginica
q2,q1,q3,q2,Iris-versicolor
q1,q4,q1,q1,Iris-setosa
q2,q1,q2,q2,Iris-versicolor
q2,q4,q1,q1,Iris-setosa
q3,q4,q3,q3,Iris-versicolor
q2,q4,q1,q2,Iris-setosa
q2,q1,q2,q2,Iris-versicolor
q1,q4,q1,q1,Iris-setosa
q2,q2,q4,q4,Iris-virginica
q2,q4,q1,q1,Iris-setosa
q4,q3,q3,q4,Iris-virginica
q3,q2,q2,q2,Iris-versicolor
q1,q4,q1,q1,Iris-setosa
q2,q2,q2,q2,Iris-versicolor
q1,q3,q3,q3,Iris-versicolor
q1,q4,q2,q2,Iris-setosa
q3,q1,q3,q3,Iris-virginica
q2,q3,q2,q2,Iris-versicolor
q4,q2,q4,q3,Iris-virginica
q1,q3,q1,q1,Iris-setosa
q1,q4,q1,q4,Iris-setosa
q3,q1,q3,q3,Iris-virginica
q2,q1,q3,q4,Iris-virginica
q4,q2,q3,q2,Iris-versicolor
q2,q2,q3,q3,Iris-versicolor
q4,q2,q4,q3,Iris-virginica
q1,q4,q1,q1,Iris-setosa
q3,q1,q3,q2,Iris-versicolor
q4,q2,q4,q4,Iris-virginica
q2,q2,q2,q2,Iris-versicolor
q4,q2,q3,q3,Iris-versicolor
q2,q3,q2,q2,Iris-versicolor
q4,q1,q3,q3,Iris-versicolor
q2,q1,q4,q4,Iris-virginica
q2,q2,q2,q2,Iris-versicolor
q4,q3,q1,q4,Iris-virginica
q1,q3,q1,q1,Iris-setosa
q1,q4,q1,q2,Iris-setosa
q3,q2,q3,q3,Iris-versicolor
q4,q3,q4,q4,Iris-virginica
q2,q4,q2,q2,Iris-setosa
q4,q3,q3,q3,Iris-versicolor
q2,q1,q2,q3,Iris-versicolor
q1,q2,q1,q1,Iris-setosa
q1,q3,q2,q2,Iris-setosa
q4,q2,q2,q4,Iris-virginica
q1,q1,q1,q1,Iris-setosa
q3,q3,q3,q3,Iris-versicolor
q1,q4,q2,q1,Iris-setosa
q3,q2,q3,q3,Iris-versicolor
q3,q1,q3,q3,Iris-versicolor
q1,q2,q1,q1,Iris-setosa
q4,q4,q4,q4,Iris-virginica
q2,q1,q3,q4,Iris-virginica
q2,q1,q2,q2,Iris-versicolor
q2,q1,q3,q2,Iris-versicolor
q4,q3,q4,q4,Iris-virginica
q3,q2,q3,q3,Iris-virginica
q3,q1,q4,q4,Iris-virginica
q4,q4,q4,q4,Iris-virginica
q3,q3,q1,q1,Iris-setosa
q3,q1,q3,q3,Iris-versicolor
q2,q4,q1,q1,Iris-setosa
q4,q3,q4,q3,Iris-virginica
