q1,q1,q1,q2,q3,q4,q4,q1,q1,q4,1
q2,q3,q1,q2,q2,q3,q3,q2,q1,q1,1
q3,q2,q2,q4,q2,q2,q3,q2,q1,q1,2
q1,q2,q1,q3,q2,q4,q2,q2,q1,q4,1
q3,q3,q1,q4,q2,q2,q4,q3,q1,q4,2
q1,q2,q2,q3,q4,q2,q2,q2,q1,q3,1
q3,q4,q2,q4,q1,q2,q2,q2,q1,q1,2
q3,q1,q3,q2,q2,q2,q3,q2,q1,q1,3
q3,q4,q4,q1,q1,q2,q1,q4,q1,q3,2
q4,q1,q2,q1,q4,q1,q4,q1,q1,q1,5
q2,q4,q4,q2,q1,q1,q1,q4,q1,q1,2
q4,q4,q1,q1,q4,q4,q2,q4,q1,q1,5
q2,q1,q2,q2,q3,q4,q3,q1,q1,q1,2
q4,q1,q4,q1,q4,q4,q1,q3,q4,q1,7
q1,q2,q4,q3,q2,q2,q2,q1,q1,q1,1
q3,q4,q3,q1,q4,q1,q2,q4,q4,q4,2
q2,q4,q2,q4,q1,q2,q2,q4,q1,q4,1
q2,q1,q2,q3,q3,q4,q4,q1,q1,q1,2
q2,q1,q1,q2,q3,q3,q2,q2,q1,q1,2
q1,q2,q2,q3,q2,q3,q3,q2,q1,q4,1
q2,q4,q3,q3,q2,q1,q1,q3,q4,q1,1
q1,q2,q1,q3,q2,q4,q3,q2,q1,q1,1
q3,q2,q2,q3,q3,q2,q3,q2,q1,q3,3
q3,q4,q4,q4,q1,q1,q1,q4,q1,q1,3
q1,q2,q1,q3,q1,q4,q3,q2,q1,q1,1
q3,q3,q3,q4,q2,q2,q2,q2,q1,q1,2
q1,q1,q1,q4,q3,q3,q4,q1,q1,q4,1
q4,q4,q1,q1,q4,q1,q4,q4,q4,q4,5
q1,q4,q4,q4,q1,q1,q1,q4,q1,q1,1
q4,q4,q2,q1,q3,q4,q2,q4,q1,q4,5
q4,q1,q4,q1,q4,q4,q1,q3,q4,q1,7
q1,q4,q2,q4,q1,q1,q2,q4,q1,q1,1
q4,q1,q3,q2,q4,q3,q4,q1,q4,q1,7
q2,q1,q4,q3,q2,q3,q2,q1,q1,q4,2
q1,q3,q2,q2,q3,q2,q3,q2,q1,q1,1
q4,q1,q4,q1,q4,q4,q1,q3,q4,q3,7
q1,q3,q2,q3,q2,q3,q3,q2,q1,q1,1
q2,q4,q2,q3,q1,q1,q2,q4,q1,q4,1
q3,q2,q1,q3,q3,q3,q4,q1,q4,q4,2
q1,q4,q4,q3,q3,q1,q3,q2,q1,q1,1
q1,q4,q4,q4,q1,q1,q2,q3,q1,q1,1
q2,q4,q3,q2,q1,q1,q1,q4,q1,q1,2
q4,q1,q4,q1,q4,q2,q1,q4,q4,q1,7
q1,q2,q1,q2,q3,q4,q3,q2,q1,q3,1
q3,q2,q1,q3,q3,q4,q4,q1,q1,q1,2
q1,q1,q2,q2,q2,q2,q3,q2,q1,q1,1
q1,q3,q3,q2,q1,q3,q2,q3,q1,q1,1
q1,q2,q1,q3,q3,q4,q3,q2,q1,q1,1
q3,q4,q1,q1,q1,q1,q1,q4,q1,q4,2
q3,q3,q3,q4,q1,q2,q1,q2,q1,q1,3
q2,q3,q3,q2,q3,q1,q2,q2,q1,q1,2
q4,q1,q4,q1,q3,q4,q1,q1,q1,q1,6
q2,q1,q1,q3,q4,q3,q4,q1,q1,q1,2
q2,q4,q2,q4,q1,q1,q2,q4,q1,q4,1
q1,q3,q1,q2,q2,q3,q4,q3,q1,q1,1
q3,q3,q3,q4,q3,q1,q2,q1,q1,q4,2
q3,q3,q2,q4,q2,q2,q2,q2,q1,q4,2
q4,q2,q4,q1,q4,q4,q1,q3,q4,q1,7
q1,q2,q1,q2,q2,q3,q3,q2,q1,q1,1
q3,q3,q2,q4,q1,q2,q3,q2,q1,q1,2
q2,q4,q1,q1,q4,q1,q3,q4,q4,q4,2
q4,q1,q4,q2,q4,q1,q4,q1,q4,q1,5
q4,q1,q4,q1,q4,q4,q1,q3,q4,q1,7
q2,q3,q2,q4,q1,q2,q4,q3,q1,q4,2
q2,q2,q1,q2,q3,q4,q3,q3,q4,q4,2
q2,q1,q2,q3,q3,q3,q3,q1,q1,q1,2
q2,q4,q1,q1,q4,q1,q4,q4,q1,q4,2
q1,q4,q4,q4,q1,q1,q1,q4,q1,q3,1
q3,q4,q3,q2,q3,q1,q2,q4,q1,q4,2
q2,q3,q3,q4,q1,q2,q2,q3,q1,q1,1
q3,q3,q2,q4,q2,q2,q3,q2,q1,q1,2
q2,q1,q2,q3,q3,q4,q4,q1,q1,q1,2
q1,q4,q4,q4,q1,q1,q1,q4,q1,q1,1
q2,q1,q1,q2,q4,q4,q4,q1,q1,q3,2
q3,q3,q3,q4,q2,q2,q3,q1,q1,q4,2
q1,q4,q2,q2,q2,q2,q3,q3,q1,q4,1
q3,q3,q3,q4,q2,q2,q2,q1,q1,q1,2
q3,q4,q4,q1,q3,q1,q2,q4,q1,q4,2
q3,q3,q3,q2,q3,q1,q3,q3,q1,q3,3
q1,q4,q3,q4,q1,q1,q2,q4,q1,q1,1
q4,q4,q1,q1,q3,q4,q3,q4,q1,q1,5
q4,q2,q4,q1,q4,q4,q1,q3,q4,q1,7
q4,q3,q4,q2,q4,q2,q1,q4,q1,q1,6
q2,q2,q1,q2,q4,q4,q4,q2,q1,q1,2
q3,q2,q1,q3,q4,q4,q4,q1,q1,q1,2
q1,q3,q1,q4,q1,q4,q3,q3,q1,q1,1
q4,q3,q4,q2,q3,q2,q1,q4,q1,q1,6
q4,q1,q4,q1,q4,q3,q1,q3,q4,q1,7
q4,q3,q1,q1,q4,q2,q3,q4,q1,q1,5
q2,q3,q1,q2,q1,q4,q2,q4,q1,q4,2
q2,q4,q3,q3,q1,q1,q1,q4,q1,q1,1
q1,q2,q1,q4,q2,q3,q3,q2,q1,q1,1
q3,q3,q2,q4,q1,q3,q3,q2,q4,q4,2
q4,q3,q4,q2,q3,q2,q1,q4,q1,q1,6
q4,q4,q3,q3,q1,q2,q2,q3,q4,q4,3
q3,q2,q3,q4,q4,q1,q4,q1,q1,q1,2
q3,q2,q2,q2,q2,q3,q3,q3,q1,q4,2
q1,q1,q1,q2,q3,q4,q4,q1,q1,q4,1
q1,q2,q3,q3,q1,q3,q2,q2,q1,q1,1
q4,q1,q4,q1,q4,q4,q1,q3,q4,q3,7
q4,q4,q2,q1,q4,q3,q2,q4,q1,q1,5
q3,q4,q1,q1,q1,q1,q1,q4,q1,q1,2
q3,q3,q3,q2,q3,q1,q3,q3,q1,q1,3
q1,q3,q4,q4,q1,q1,q1,q3,q1,q1,1
q3,q1,q2,q2,q2,q3,q2,q2,q1,q1,3
q1,q2,q1,q3,q2,q3,q4,q2,q1,q1,1
q2,q3,q1,q2,q2,q4,q3,q3,q1,q4,1
q1,q3,q1,q3,q2,q3,q3,q3,q1,q1,1
q2,q4,q3,q4,q1,q1,q2,q4,q1,q4,1
q2,q1,q2,q3,q3,q3,q3,q1,q1,q1,2
q4,q3,q4,q1,q4,q3,q4,q1,q4,q1,7
q2,q1,q3,q3,q3,q2,q4,q1,q1,q3,2
q4,q4,q3,q2,q2,q2,q3,q3,q1,q1,7
q4,q1,q4,q1,q4,q4,q1,q2,q4,q1,7
q4,q3,q4,q1,q4,q2,q1,q4,q1,q1,6
q2,q1,q4,q2,q4,q1,q4,q1,q1,q1,2
q1,q2,q1,q3,q2,q3,q3,q3,q1,q4,1
q4,q1,q4,q1,q4,q4,q1,q3,q4,q3,7
q2,q3,q2,q2,q3,q3,q3,q3,q4,q1,2
q3,q2,q3,q3,q3,q2,q4,q1,q1,q1,2
q2,q1,q3,q4,q3,q2,q4,q1,q1,q1,2
q3,q2,q2,q2,q4,q2,q3,q2,q1,q4,3
q2,q4,q4,q4,q1,q1,q1,q4,q1,q1,1
q3,q4,q1,q1,q1,q4,q1,q4,q1,q1,2
q1,q2,q1,q3,q3,q2,q2,q2,q1,q4,1
q1,q2,q2,q3,q1,q4,q3,q1,q1,q1,1
q1,q1,q3,q3,q3,q3,q2,q1,q1,q1,1
q3,q3,q2,q4,q3,q2,q2,q2,q1,q3,2
q1,q3,q3,q2,q2,q1,q2,q3,q1,q1,1
q1,q4,q3,q4,q1,q1,q1,q3,q1,q1,1
q3,q4,q3,q1,q2,q1,q2,q4,q1,q3,2
q4,q2,q4,q1,q4,q4,q1,q2,q4,q1,7
q2,q2,q3,q4,q1,q3,q3,q1,q1,q1,1
q2,q1,q1,q3,q4,q2,q4,q1,q1,q1,2
q2,q1,q3,q3,q2,q3,q4,q1,q1,q1,2
q4,q4,q4,q4,q1,q1,q2,q3,q1,q4,3
q1,q2,q2,q4,q2,q2,q3,q1,q1,q1,1
q4,q4,q4,q1,q4,q4,q1,q2,q4,q1,7
q4,q3,q3,q2,q3,q1,q3,q3,q1,q1,3
q3,q3,q3,q1,q1,q4,q1,q4,q1,q1,2
q1,q2,q1,q3,q2,q4,q3,q2,q1,q1,1
q1,q3,q1,q2,q1,q3,q4,q3,q1,q4,1
q4,q1,q4,q1,q4,q4,q1,q2,q4,q1,7
q2,q2,q3,q4,q1,q2,q3,q2,q1,q4,1
q1,q2,q2,q4,q2,q3,q2,q1,q1,q1,1
q3,q3,q2,q4,q3,q2,q3,q2,q1,q4,2
q2,q1,q1,q2,q3,q4,q4,q1,q1,q1,2
q3,q2,q1,q4,q3,q3,q3,q1,q1,q1,2
q2,q4,q3,q3,q1,q1,q1,q4,q1,q3,1
q1,q2,q1,q2,q2,q4,q3,q3,q1,q1,1
q4,q4,q3,q2,q1,q2,q1,q4,q1,q1,6
q1,q3,q1,q3,q1,q3,q4,q3,q1,q1,1
q4,q2,q4,q1,q4,q3,q1,q3,q4,q1,7
q2,q1,q2,q2,q1,q3,q4,q2,q1,q4,1
q2,q1,q2,q2,q3,q4,q2,q1,q1,q1,2
q4,q2,q1,q1,q1,q4,q4,q3,q1,q1,7
q3,q4,q4,q4,q1,q1,q1,q4,q1,q1,3
